E (GeV), px (GeV), py (GeV), pz (GeV)
5.0000000000e+02,+1.7971226343e+02,-3.1261383292e+02,+3.4637109594e+02
5.0000000000e+02,-4.1971422692e+02,-1.4807231557e+02,+2.2784073243e+02
5.0000000000e+02,-2.9898025614e+02,+1.1600627839e+02,-3.8360160594e+02
5.0000000000e+02,-3.4323040241e+02,+4.9610724253e+01,-3.6017844073e+02
5.0000000000e+02,-1.8393730642e+02,-2.7037289156e+02,+3.7823591723e+02
5.0000000000e+02,+4.6207095339e+02,+1.7706537933e+02,+7.1659805655e+01
5.0000000000e+02,+2.3816589701e+02,+8.3419202339e+01,-4.3164231078e+02
5.0000000000e+02,+2.2546848806e+02,+1.3300625338e+01,-4.4607611069e+02
5.0000000000e+02,+1.5503247579e+02,-3.1696332965e+01,+4.7429644337e+02
5.0000000000e+02,+2.4264472681e+01,+4.3164953429e+02,+2.5117077296e+02
5.0000000000e+02,+5.9790663032e+01,+1.0705896500e+02,+4.8472703339e+02
5.0000000000e+02,-1.7969919295e+02,-1.3895813163e+02,-4.4541629963e+02
5.0000000000e+02,-2.2896125550e+01,-3.7220390292e+02,-3.3307186065e+02
5.0000000000e+02,+3.2215778535e+02,-2.9131890470e+02,+2.4767821739e+02
5.0000000000e+02,+1.6172908227e+02,-1.7319657769e+02,-4.4027660816e+02
5.0000000000e+02,+3.8992203053e+02,-2.6966466483e+02,-1.5886667656e+02
5.0000000000e+02,-2.6085317924e+02,-1.1372841553e+02,-4.1111836331e+02
5.0000000000e+02,-4.3606348437e+02,+2.1668962867e+02,+1.1353891269e+02
5.0000000000e+02,+3.9535961541e+02,+3.0392971586e+02,-3.6253890670e+01
5.0000000000e+02,-1.5348173053e+02,-1.8397451575e+02,+4.3885484869e+02
5.0000000000e+02,+7.3183577204e+01,-4.9461194107e+02,-1.8452430418e-01
5.0000000000e+02,-2.0398879579e+02,-4.9471351560e+01,-4.5380392114e+02
5.0000000000e+02,+3.8363836098e+02,+2.1090436444e+02,-2.4153219105e+02
5.0000000000e+02,+2.2744708783e+02,-2.3990004716e+02,+3.7511682431e+02
5.0000000000e+02,+4.1083079249e+01,+4.0957386649e+02,-2.8382788933e+02
5.0000000000e+02,-1.6148947877e+02,-4.6566668664e+02,+8.4098320253e+01
5.0000000000e+02,-2.0441710647e+02,-1.8240035428e+00,+4.5629722974e+02
5.0000000000e+02,+1.9718560429e+02,-4.1940572758e+02,+1.8765264561e+02
5.0000000000e+02,-6.5278775956e+00,+2.8027655894e+02,+4.1400396084e+02
5.0000000000e+02,-3.4405613119e+02,+3.5118377186e+02,-9.1061403707e+01
5.0000000000e+02,+3.1988277154e+02,-1.2390370474e+02,+3.6375778575e+02
5.0000000000e+02,-9.5762536918e+01,+1.8182832328e+02,-4.5581228554e+02
5.0000000000e+02,+1.8788774585e+02,+1.4071518250e+01,-4.6313824027e+02
5.0000000000e+02,-3.6579508915e+02,-1.6882957039e+02,+2.9612053489e+02
5.0000000000e+02,-1.3816064752e+02,+3.5721457419e+02,-3.2141285869e+02
5.0000000000e+02,-6.3785913689e+01,+2.2542697575e+02,-4.4171357019e+02
5.0000000000e+02,-7.4976080054e+01,+4.5472061894e+02,+1.9391902536e+02
5.0000000000e+02,-3.8934507559e+02,-4.0981705630e+00,-3.1367253526e+02
5.0000000000e+02,+1.9302031022e+02,+3.4541850405e+02,-3.0565676694e+02
5.0000000000e+02,-4.7276128673e+02,+1.5784409767e+02,+3.9734731227e+01
5.0000000000e+02,+2.3185594012e+02,+4.1407470033e+02,-1.5742238674e+02
5.0000000000e+02,-4.6981559211e+02,+1.7037868721e+02,+1.5532373473e+01
